county_name,ev_location,ev_address,ev_city_state_zip,ev_location_type,ev_dates,ev_hours,ev_notes
DeKalb County,NIU-Holmes Student Center,600 Lucinda Ave,"Dekalb, IL  60115",Temporary Early Voting Location,"March 2,2020 thru March 6, 2020",8:30am - 4:30pm M-W-F and 8:30am - 7:00pm T & Th, 
DeKalb County,Sycamore Campus,200 N Main St,"Sycamore, IL  60178",Permanent Early Voting with Grace Period Registration,"February 6, 2020 thru February 28, 2020",Monday thru Friday 8:30am to 4:30pm, 
DeKalb County,Kirkland Village Hall,511 W Main St,"Kirkland, IL  60146",Temporary Early Voting Location,"March 2, 2020 thru March 6, 2020",8:30am - 4:30pm M-W-F and 8:30am - 7:00pm T & Th, 
DeKalb County,Sandwich Fire Station,310 E Railroad St,"Sandwich, IL  60548",Temporary Early Voting Location,"March 2, 2020 thru March 6, 2020",8:30am - 4:30pm M-W-F and 8:30am - 7:00pm T & Th, 
DeKalb County,County Campus-Sycamore Administration Building,110 E Sycamore St,"Sycamore, IL  60178",Grace Period on Election Day Location,"March 17, 2020",6:00 AM to 7:00 PM, 
DeWitt County,DeWitt County Clerk's Office,201 w Washington St W,"Clinton, IL  61727",Permanent Early Voting with Grace Period Registration,"Begins February 6, 2020and conclude March 16, 2020","8:30am to 4:30pm Monday thru Friday, except Holidays", 
Douglas County,Douglas County Courthouse,401 S Center St,"Tuscola, IL  61953",Temporary Early Voting Location,"Begins February 6, 2020 and concludes March 16, 2020",8:30 A.M. to 4:30 P.M. Monday through Friday, 
DuPage County,DuPage County Clerk Election Division,421 N County Farm Rd,"Wheaton, IL  60187",Permanent Early Voting with Grace Period Registration,"Mon - Fri, February 6 - March 16, 2020",8:00 am - 4:30 pm, 
DuPage County,Addison Township Office,401 N Addison Rd,"Addison, IL  60101",Temporary Early Voting with Grace Period Registration,"Mon - Fri, March 2 - March 14, 2020",8:30 am - 7:30 pm, 
DuPage County,Bartlett Community Center,700 S Bartlett Rd,"Bartlett, IL  60103",Temporary Early Voting with Grace Period Registration,"Mon - Fri, March 2 - March 14, 2020",8:30 am - 7:30 pm, 
DuPage County,College of DuPage,425 Fawell Blvd,"Glen Ellyn, IL  60137",Temporary Early Voting with Grace Period Registration,"Mon - Fri, March 2 - March 14, 2020",8:30 am - 7:30 pm, 
DuPage County,Downers Grove Village Hall,801 Burlington Ave,"Downers Grove , IL  60515",Temporary Early Voting with Grace Period Registration,"Mon - Fri, March 2 - March 14, 2020",8:30 am - 7:30 pm, 
DuPage County,Elmhurst City Hall,209 N York St,"Elmhurst, IL  60126",Temporary Early Voting with Grace Period Registration,"Mon - Fri, March 2 - March 14, 2020",8:30 am - 7:30 pm, 
DuPage County,Glen Ellyn Civic Center,535 Duane St,"Glen Ellyn , IL  60137",Temporary Early Voting with Grace Period Registration,"Mon - Fri, March 2 - March 14, 2020",8:30 am - 7:30 pm, 
DuPage County,Oak Brook Village Hall,1200 Oak Brook Rd,"Oak Brook, IL  60523",Temporary Early Voting with Grace Period Registration,"Mon - Fri, March 2 - March 14, 2020",8:30 am - 7:30 pm, 
